
2024/10/05 (20:29:44) | ===> btop++ v.1.4.0
2024/10/05 (20:29:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (20:46:32) | ===> btop++ v.1.4.0
2024/10/05 (20:46:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (20:50:03) | ===> btop++ v.1.4.0
2024/10/08 (20:50:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (20:50:56) | ===> btop++ v.1.4.0
2024/10/08 (20:50:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:13:22) | ===> btop++ v.1.4.0
2024/10/20 (14:13:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:14:17) | ===> btop++ v.1.4.0
2024/10/20 (14:14:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:15:05) | ===> btop++ v.1.4.0
2024/10/20 (14:15:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:16:04) | ===> btop++ v.1.4.0
2024/10/20 (14:16:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:16:24) | ===> btop++ v.1.4.0
2024/10/20 (14:16:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:44:35) | ===> btop++ v.1.4.0
2024/10/20 (14:44:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:48:54) | ===> btop++ v.1.4.0
2024/10/20 (14:48:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:52:47) | ===> btop++ v.1.4.0
2024/10/20 (14:52:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:54:57) | ===> btop++ v.1.4.0
2024/10/20 (14:54:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (16:08:27) | ===> btop++ v.1.4.0
2024/10/20 (16:08:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (17:42:38) | ===> btop++ v.1.4.0
2024/10/20 (17:42:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (18:42:26) | ===> btop++ v.1.4.0
2024/11/01 (18:42:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (13:08:09) | ===> btop++ v.1.4.0
2024/11/15 (13:08:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (13:08:32) | ===> btop++ v.1.4.0
2024/11/15 (13:08:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:46:09) | ===> btop++ v.1.4.0
2024/11/19 (19:46:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:46:58) | ===> btop++ v.1.4.0
2024/11/19 (19:46:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (16:45:18) | ===> btop++ v.1.4.0
2024/11/21 (16:45:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:04:38) | ===> btop++ v.1.4.0
2024/12/04 (14:04:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (14:04:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:05:01) | ===> btop++ v.1.4.0
2024/12/04 (14:05:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (14:05:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:48:32) | ===> btop++ v.1.4.0
2024/12/04 (14:48:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/04 (14:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:55:09) | ===> btop++ v.1.4.0
2024/12/04 (14:55:09) | WARNING: Intel GPU: Failed to initialize PMU

